"","x"
"56","Look Little Marco, if I work at bank ant the bank robbers when the most money is in bank. If I tell them how to dis… https://t.co/RgEgno6MAQ"
"57","Start armed robbery suspect captured in southern Louisiana - MyArkLaMiss https://t.co/8pXxNxEuCq"
"58","@elonmusk I would think the 1812 overture with real sounding gun/cannon fire would be more effective in a car robbery...."
"59","Sheriff deputies investigating armed robbery at Pilot Travel Center in Preble County https://t.co/G71ZsIKrZx"
"60","Easley police say they're looking for a suspect wanted in connection to a bank robbery at Palmetto Health Credit Un… https://t.co/zmuMFd67WM"
"61","Easley police say they're looking for a suspect wanted in connection to a bank robbery at Palmetto Health Credit Un… https://t.co/tuLCkL2rSg"
"62","Aurora Man Who Thought He Was Meeting An Online Date Was Attacked And Robbed https://t.co/bbUO4HxD6I https://t.co/zte910WsT2"
"63","Judith Clark, the getaway driver in a fatal 1981 armed robbery, was granted parole Wednesday after 37 years in pris… https://t.co/ltY9AYrqby"
"64","Teenage Chuck Berry spent 3 years in prison for armed robbery after going on a crime spree with a broken pistol at age 17."
"65","The special counsel blamed WikiLeaks for promoting the conspiracy theory about DNC staffer Seth Rich’s death. Polic… https://t.co/lQUCCCCWFJ"
"66","@NewDay @ChrisCuomo @RepMarkMeadows If I walk into the bank and demand all the money, but they don’t give it to me,… https://t.co/8E5rrzCmen"
"67","@HighbrowHaze @DavidCornDC you've never heard of a robbery gone bad? and seriously, WTF is wrong with you all? his… https://t.co/bvVEEZf0qF"
"68","Making murder illegal won’t stop murder therefore murder should be legal

Making robbery illegal won’t stop robbery… https://t.co/p7hBmSoV1U"
"69","Somali with a Machete Charged with Targeting Target in Robbery Spree https://t.co/NqMxpvI3PV via @refugeewatcher  Scum update..."
"70","Alamance Superior Court: Plea in 2017 #robbery; #bond set for #murder defendant - Apr 20 @ 10:43 AM ET  https://t.co/iIds3SF2le"
"71","What a great analogy @dbongino. 
The media is patting themselves on the back for their accurate coverage of the Tru… https://t.co/gpcDHDVq1v"
"72","An ATV was among the items stolen during a robbery in #Carbon County in early April.
https://t.co/l9rqLvTrjY"
"73","@HoarseWisperer So Trump may not have actually participated directly in the robbery, but he received the stolen goods. Gotcha"
"74","@dick_brewbaker @yhn @sean_yhn A “Capital Offense”  are very specific crimes with Circumstance that allow punishmen… https://t.co/LVmI1VxTZv"
"75","@Mimirocah1 @YNB So “attempted” murder or robbery are no longer going to be prosecuted?"
"76","@Taymastar /snap to make a robbery not feel so good (/snap)"
"77","Additional Arrest Made in Yes Way Robbery

On Friday, April 19, 2019 at approximately 9:49 p.m. the Centerville Pol… https://t.co/AycA34gDQa"
"78","#JUSTIN: Police charged Michael Tedesco, 38, of Millville, New Jersey with murder, possession of a weapon for unlaw… https://t.co/8Sf3RBPcPv"
"79","Brinks Robbery: Judith Clark, redemption and parole reform https://t.co/zIVhPxcxY4 via @lohud"
"80","@MSNBC As everyone knows, there are no statutes stating that attempting a crime is a crime in itself. Robbery is on… https://t.co/7LmHkUntHS"
"81","Police accuse 26-year-old Maxwell Hayslip of robbing the Chase Bank branch on Nicholasville Road back on Nov. 13. A… https://t.co/4NB6lntwgE"
"82","YOU CAN'T FIX STUPID! https://t.co/68fHMBRDLi"
"83","So this couple had a car that was mistaken for an ARMED ROBBERY suspect police get out with GUNS DRAWN and GIVE ORD… https://t.co/B3CWERwQTf"
"84","It’s gon be a robbery soo tuck ya chain"
"85","The second suspect in Thursday's armed robbery of a Centerville gas station is in custody, according to police. https://t.co/LRsOvmgkIP"
"86","This week, Judith Clark was granted parole after spending 37 years behind bars. 

More at @nytimes: https://t.co/Wb29qszDhX"
"87","@JohnCornyn @CNN Really? That's your takeaway? I'd love to see your takes on bank robbery: ""None of the security gu… https://t.co/eHFfXb6EuL"
"88","San Luis police apprehend armed robbery suspect (via Yuma Sun in Yuma)
https://t.co/5TyoO9B9P3"
