"","x"
"53","@iunderstoodu @cspanwj Eric wrote a really horrifying rape fantasy in his journal, but then he depicted fantasies a… https://t.co/sEyJHcwnMC"
"54","@MelissaAOlcott @ColS2259 @a_clown_prince @PPact It excludes rape and cases of incest. 🙄"
"55","@MoMoSwift_TV We’ll be talking about rape culture, why it’s so pervasive, and how we can rewire our minds and habit… https://t.co/5zdnGYKWpJ"
"56","People out here bending over backwards to try to justify the rape of enslaved women. If Jesus is out there can he j… https://t.co/3PbqGfIuB2"
"57","@brithume @AndrewCMcCarthy Why few voices have come to this honorable man’s defense is, itself, a tragedy. A classi… https://t.co/5MFCPI1gfy"
"58","Especially if you are male, PLEASE read this thread. This is an incredible reason why RAPE should never be ignored.… https://t.co/R3ZYh3Y7v0"
"59","Just a rapey white guy with money raging about another rape you white guy with money. It's nice to see they stick t… https://t.co/yiOdSamJI4"
"60","I Can Smoke With Females Peacefully. Yall Niggas Be Tryna Rape Bitches 😭"
"61","Frank Miller who became Raymond Jones is a killer and living on Marguerite DeWitt's body a woman who he raped &amp; had… https://t.co/PUecYk9Nnn"
"62","@we_are_atheism @DustinWheelerLW @HumansAreApes Coming back to this and limiting overtly theological language. I pr… https://t.co/6hQ5drEIH3"
"63","@ItsKelleyKelley @LonewolfnDuke *I deliberately did NOT capitalize their ""religious"" book of 🐂💩 because I have ABSO… https://t.co/UYGgilVun1"
"64","Did the Mueller report prove that Trump never committed murder, rape, larceny, jay walking, or speeding?these need… https://t.co/qiTu3zFYxz"
"65","@NBCPhiladelphia The us military is the largest in rape  gang on earth"
"66","@StevenBeschloss #Trumplicans are complicit with the dishonest and dishonorable #Trumpocracy as they actively obstr… https://t.co/spMj8i6Q66"
"67","@martyastridge @magnusmickel @suigenerisjen @wikileaks @abcnews The ABC idiots parroting the lie that there was a r… https://t.co/eoPQ3hx6cJ"
"68","@thekiranbedi Welcome to Twitter, Saina. I think you just joined. In Mother India, when Nargis’s children were hung… https://t.co/vwVM0HSpyP"
"69","@zosorocks10 Because he was hitting them hard when they didn't want to be hit. They wanted to basically just ignore… https://t.co/HnVYZJG8yG"
"70","@SenGillibrand Why don't you legalize all drugs so you get even more support. Heck legalize rape &amp; pedophilia so yo… https://t.co/uazWdQVMIk"
